variable,question_label,format_name,raw_value,value_label
Q72,Carrot eating,$H72S,5,2 times per day
Q72,Carrot eating,$H72S,6,3 times per day
Q72,Carrot eating,$H72S,7,4 or more times per day
Q73,Other vegetable eating,$H73S, ,Missing
Q73,Other vegetable eating,$H73S,1,Did not eat other vegetables
Q73,Other vegetable eating,$H73S,2,1 to 3 times
Q73,Other vegetable eating,$H73S,3,4 to 6 times
Q73,Other vegetable eating,$H73S,4,1 time per day
Q73,Other vegetable eating,$H73S,5,2 times per day
Q73,Other vegetable eating,$H73S,6,3 times per day
Q73,Other vegetable eating,$H73S,7,4 or more times per day
Q74,No soda drinking,$H74S, ,Missing
Q74,No soda drinking,$H74S,1,Did not drink soda or pop
Q74,No soda drinking,$H74S,2,1 to 3 times
Q74,No soda drinking,$H74S,3,4 to 6 times
Q74,No soda drinking,$H74S,4,1 time per day
Q74,No soda drinking,$H74S,5,2 times per day
Q74,No soda drinking,$H74S,6,3 times per day
Q74,No soda drinking,$H74S,7,4 or more times per day
Q75,Breakfast eating,$H75S, ,Missing
Q75,Breakfast eating,$H75S,1,0 days
Q75,Breakfast eating,$H75S,2,1 day
Q75,Breakfast eating,$H75S,3,2 days
Q75,Breakfast eating,$H75S,4,3 days
Q75,Breakfast eating,$H75S,5,4 days
Q75,Breakfast eating,$H75S,6,5 days
Q75,Breakfast eating,$H75S,7,6 days
Q75,Breakfast eating,$H75S,8,7 days
Q76,Physical activity >= 5 days,$H76S, ,Missing
Q76,Physical activity >= 5 days,$H76S,1,0 days
Q76,Physical activity >= 5 days,$H76S,2,1 day
Q76,Physical activity >= 5 days,$H76S,3,2 days
Q76,Physical activity >= 5 days,$H76S,4,3 days
Q76,Physical activity >= 5 days,$H76S,5,4 days
Q76,Physical activity >= 5 days,$H76S,6,5 days
Q76,Physical activity >= 5 days,$H76S,7,6 days
Q76,Physical activity >= 5 days,$H76S,8,7 days
Q77,PE attendance,$H77S, ,Missing
Q77,PE attendance,$H77S,1,0 days
Q77,PE attendance,$H77S,2,1 day
Q77,PE attendance,$H77S,3,2 days
Q77,PE attendance,$H77S,4,3 days
Q77,PE attendance,$H77S,5,4 days
Q77,PE attendance,$H77S,6,5 days
Q78,Sports team participation,$H78S, ,Missing
Q78,Sports team participation,$H78S,1,0 teams
Q78,Sports team participation,$H78S,2,1 team
Q78,Sports team participation,$H78S,3,2 teams
Q78,Sports team participation,$H78S,4,3 or more teams
Q79,Concussion,$H79S, ,Missing
Q79,Concussion,$H79S,1,0 times
Q79,Concussion,$H79S,2,1 time
Q79,Concussion,$H79S,3,2 times
Q79,Concussion,$H79S,4,3 times
Q79,Concussion,$H79S,5,4 or more times
Q80,Social media,$H80S, ,Missing
Q80,Social media,$H80S,1,I do not use social media
Q80,Social media,$H80S,2,A few times a month
Q80,Social media,$H80S,3,About once a week
Q80,Social media,$H80S,4,A few times a week
Q80,Social media,$H80S,5,About once a day
Q80,Social media,$H80S,6,Several times a day
Q80,Social media,$H80S,7,About once an hour
Q80,Social media,$H80S,8,More than once an hour
Q81,HIV testing,$H81S, ,Missing
Q81,HIV testing,$H81S,1,Yes
Q81,HIV testing,$H81S,2,No
Q81,HIV testing,$H81S,3,Not sure
Q82,STD testing,$H82S, ,Missing
Q82,STD testing,$H82S,1,Yes
Q82,STD testing,$H82S,2,No
Q82,STD testing,$H82S,3,Not sure
Q83,Oral health care,$H83S, ,Missing
Q83,Oral health care,$H83S,1,During the past 12 months
Q83,Oral health care,$H83S,2,Between 12 and 24 months ago
Q83,Oral health care,$H83S,3,More than 24 months ago
Q83,Oral health care,$H83S,4,Never
Q83,Oral health care,$H83S,5,Not sure
Q84,Current mental health,$H84S, ,Missing
Q84,Current mental health,$H84S,1,Never
Q84,Current mental health,$H84S,2,Rarely
Q84,Current mental health,$H84S,3,Sometimes
Q84,Current mental health,$H84S,4,Most of the time
Q84,Current mental health,$H84S,5,Always
Q85,Hours of sleep on school night,$H85S, ,Missing
Q85,Hours of sleep on school night,$H85S,1,4 or less hours
Q85,Hours of sleep on school night,$H85S,2,5 hours
Q85,Hours of sleep on school night,$H85S,3,6 hours
Q85,Hours of sleep on school night,$H85S,4,7 hours
Q85,Hours of sleep on school night,$H85S,5,8 hours
Q85,Hours of sleep on school night,$H85S,6,9 hours
Q85,Hours of sleep on school night,$H85S,7,10 or more hours
Q86,Unstable Housing,$H86S, ,Missing
Q86,Unstable Housing,$H86S,1,Home of parent or gaurdian
Q86,Unstable Housing,$H86S,2,Home of other people
Q86,Unstable Housing,$H86S,3,Shelter or emergency housing
Q86,Unstable Housing,$H86S,4,Motel or hotel
Q86,Unstable Housing,$H86S,5,Public place
Q86,Unstable Housing,$H86S,6,No usual place
Q86,Unstable Housing,$H86S,7,Somewhere else
Q87,Grades in school,$H87S, ,Missing
Q87,Grades in school,$H87S,1,Mostly A's
